819827	Razvilka	55.5917	37.7408	RU
524901	Moscow	55.7522	37.6156	RU
2973393	Tarascon	43.8058	4.6603	FR
2986678	Ploufragan	48.4914	-2.7946	FR
666767	Slatina	44.4333	24.3667	RO
683506	Bucharest	44.4323	26.1063	RO
3169070	Rome	41.8947	12.4839	IT
3173435	Milan	45.4643	9.1895	IT
2867714	Munich	48.1374	11.5755	DE
2950159	Berlin	52.5244	13.4105	DE
2657896	Zurich	47.3667	8.55	CH
4893591	Geneva	41.8875	88.3054	CH
3067696	Prague	50.088	14.4208	CZ
3068799	Ostrava	49.8346	18.282	CZ
756135	Warsaw	52.2298	21.0118	PL
3094802	Krakow	50.0833	19.9167	PL
323786	Ankara	39.9199	32.8543	TR
745042	Istanbul	41.0351	28.9833	TR
264371	Athens	37.9795	23.7162	GR
734077	Thessaloniki	40.6403	22.9439	GR
2988507	Paris	48.8534	2.3488	FR
680963	Constanța	44.1833	28.65	RO
5128581	New York City	40.7143	-74.006	US
